Prusti,,,,,
Benchmark,Lines of code,Function contracts,Function contract lines,Loop invariants,Loop invariant lines
,,,,,
vecwrapper, 45, 11, 29, 0, 0
bcopy,14,2,3,1,1
bsearch,25,0,0,0,0
dotprod,12,1,1,0,0
fft,194,11,22,10,34
heapsort,37,2,5,3,9
kmp*,49,2,4,2,7
kmp w/ full vector spec**,75,6,17,2,7
knuth_shuffle,14,2,4,1,3
min_index,14,1,2,1,1
,,,,,
matwrapper, 41, 7, 16, 0, 0
simplex,126,10,25,7,8
kmeans_2d***,93,11,37,5,10
,,,,,
LR,,,,,
Benchmark,Lines of code,Function contracts,Function contract lines,Loop invariants,Loop invariant lines
,,,,,
rvec, 54, 11, 22, 0, 0
bcopy,15,2,2,0,0
bsearch,25,1,1,0,0
dotprod,12,1,1,0,0
fft,180,13,17,0,0
heapsort,41,2,2,0,0
kmp,48,2,2,0,0
knuth_shuffle,14,2,3,0,0
min_index,14,1,1,0,0
,,,,,
rmat, 30, 4, 8, 0, 0
simplex,124,9,10,0,0
kmeans***,85,9,11,0,0
kmeans,94,10,12,0,0
